emp_no,first_name,last_name,title,from_date,salary
10974,Muneo,Papsdorf,Senior Engineer,5/17/1999,56005
10986,Masako,Schiper,Technique Leader,10/11/1985,43900
10988,Chinya,Deyuan,Senior Engineer,6/19/1985,54174
10989,Sumali,Candan,Senior Staff,7/20/1991,46406
10989,Sumali,Candan,Staff,7/20/1985,46406
10990,Shin,Foote,Technique Leader,8/6/1990,40000
11009,Alper,Axelband,Senior Staff,9/9/1993,75111
11009,Alper,Axelband,Staff,9/9/1986,75111
11012,Taegyun,Speckmann,Staff,7/6/1996,72092
11019,Leon,Huttel,Engineer,5/24/1992,69387
11019,Leon,Huttel,Senior Engineer,5/24/1997,69387
11021,Srinidhi,Henders,Staff,2/2/1998,62670
11027,Remzi,Cappello,Assistant Engineer,5/7/1986,40000
11027,Remzi,Cappello,Engineer,5/7/1991,40000
11027,Remzi,Cappello,Senior Engineer,5/6/1996,40000
11031,Ottavia,Walstra,Senior Staff,10/24/1993,71654
11031,Ottavia,Walstra,Staff,10/24/1985,71654
11037,Lansing,Maliniak,Engineer,1/28/1988,40000
11037,Lansing,Maliniak,Senior Engineer,1/28/1995,40000
11038,Jinya,Beidas,Senior Staff,7/15/1992,44993
11038,Jinya,Beidas,Staff,7/15/1985,44993
11042,Gou,Breugel,Engineer,6/21/1993,40000
11042,Gou,Breugel,Senior Engineer,6/21/2000,40000
11048,Jaques,Demke,Senior Staff,5/27/1999,65697
11050,Elvis,Katiyar,Senior Staff,5/6/1991,52251
11050,Elvis,Katiyar,Staff,5/6/1986,52251
11051,Przemyslawa,Erol,Engineer,3/27/1991,40000
11051,Przemyslawa,Erol,Senior Engineer,3/26/2000,40000
11070,Adib,Raney,Engineer,7/24/1985,40000
11070,Adib,Raney,Senior Engineer,7/24/1991,40000
11081,Barry,Boyle,Senior Staff,6/17/1994,65686
11081,Barry,Boyle,Staff,6/17/1985,65686
11085,Hailing,Thummel,Senior Engineer,2/10/1996,66437
11100,Berna,Cochrane,Senior Staff,10/13/1993,40000
11100,Berna,Cochrane,Staff,10/13/1986,40000
11106,Aris,Iwayama,Assistant Engineer,8/31/1985,71446
11106,Aris,Iwayama,Engineer,8/31/1991,71446
11106,Aris,Iwayama,Senior Engineer,8/30/1997,71446
11112,Boaz,Mukaidono,Staff,4/28/1995,40000
11113,Shahab,Peng,Senior Staff,11/30/1991,66401
11113,Shahab,Peng,Staff,11/30/1985,66401
11121,Vugranam,Kakkad,Engineer,10/31/1992,40000
11121,Vugranam,Kakkad,Senior Engineer,11/1/1999,40000
11133,Nalini,Azulay,Technique Leader,3/6/1994,40000
11134,Sachar,Rajcani,Engineer,5/19/1993,58731
11134,Sachar,Rajcani,Senior Engineer,5/19/2002,58731
11137,Hugh,Luca,Engineer,3/16/1995,40000
11139,Bogdan,Homond,Senior Staff,5/11/1995,63596
11139,Bogdan,Homond,Staff,5/11/1990,63596
11146,Ishfaq,Masand,Senior Staff,8/21/1997,96019
11146,Ishfaq,Masand,Staff,8/22/1991,96019
11148,Zhanqiu,Botman,Senior Staff,2/8/1997,56344
11148,Zhanqiu,Botman,Staff,2/8/1990,56344
11162,Kauko,Narlikar,Engineer,3/28/1985,69873
11162,Kauko,Narlikar,Senior Engineer,3/28/1990,69873
11180,Mitsuyuki,Bojadziev,Engineer,6/11/1986,40000
11180,Mitsuyuki,Bojadziev,Senior Engineer,6/10/1992,40000
11197,Tadahiro,Fordan,Senior Staff,9/12/1989,88741
11204,Diederik,Covnot,Technique Leader,9/18/1985,40000
11207,Saeed,Gips,Engineer,1/31/1999,49728
11208,Saniya,Valtorta,Technique Leader,11/17/1994,83660
11211,Yurij,Rissland,Senior Engineer,9/17/1985,72668
11217,Kellie,Mawatari,Senior Engineer,3/11/1990,40000
11232,Hidefumi,Crelier,Senior Staff,8/1/2000,43863
11232,Hidefumi,Crelier,Staff,8/2/1994,43863
11240,Kiam,Condotta,Assistant Engineer,1/6/1989,61739
11240,Kiam,Condotta,Engineer,1/6/1997,61739
11249,Randi,Cyre,Assistant Engineer,9/22/1986,43324
11249,Randi,Cyre,Engineer,9/22/1994,43324
11251,Bezalel,Chinal,Senior Staff,6/15/1993,69432
11251,Bezalel,Chinal,Staff,6/15/1986,69432
11268,Aimee,Petersohn,Engineer,10/25/1987,40000
11268,Aimee,Petersohn,Senior Engineer,10/25/1995,40000
11275,Hitomi,Eppinger,Engineer,4/25/1989,58382
11275,Hitomi,Eppinger,Senior Engineer,4/25/1998,58382
11290,Visit,Dredge,Engineer,5/13/1999,65034
11295,Abdelkader,Lanzelotte,Senior Staff,5/15/1990,66622
11295,Abdelkader,Lanzelotte,Staff,5/15/1985,66622
11319,Pranas,Marrakchi,Assistant Engineer,11/1/1998,40000
11320,Atilio,McAlpine,Senior Staff,4/6/1998,45118
11320,Atilio,McAlpine,Staff,4/6/1990,45118
11322,Nathalie,Pocchiola,Assistant Engineer,7/7/1985,43021
11322,Nathalie,Pocchiola,Engineer,7/7/1992,43021
11322,Nathalie,Pocchiola,Senior Engineer,7/8/1999,43021
11324,Kauko,Billingsley,Senior Engineer,8/29/1985,54288
11338,Kwangsub,Hanratty,Senior Staff,10/28/1998,82210
11339,Flemming,Massonet,Senior Engineer,12/19/1989,40000
11347,Anneli,Jonsson,Engineer,4/20/1986,41524
11347,Anneli,Jonsson,Senior Engineer,4/19/1992,41524
11365,Toshimi,Shinomoto,Engineer,12/18/1997,56463
11376,Valery,Suomi,Senior Staff,3/14/1994,46964
11376,Valery,Suomi,Staff,3/14/1986,46964
11380,Kenroku,Pelc,Assistant Engineer,4/19/1991,53345
11380,Kenroku,Pelc,Engineer,4/18/1996,53345
11380,Kenroku,Pelc,Senior Engineer,4/18/2001,53345
11385,Shiv,Ullian,Engineer,8/8/1999,40000
11386,Alselm,Assaf,Engineer,11/30/1987,47726
11386,Alselm,Assaf,Senior Engineer,11/29/1993,47726
11393,Junsik,Junot,Engineer,4/30/1985,40000
11393,Junsik,Junot,Senior Engineer,4/30/1992,40000
11398,Oscar,Peir,Senior Staff,9/7/2001,44625
11398,Oscar,Peir,Staff,9/7/1994,44625
11404,Bedrich,Borovoy,Technique Leader,9/25/1990,42907
11415,Sanjiv,Anido,Engineer,12/7/1996,40000
11421,Josyula,Msuda,Engineer,9/2/1986,52416
11421,Josyula,Msuda,Senior Engineer,9/2/1995,52416
11441,Marlo,Aingworth,Senior Staff,3/27/1987,67352
11449,Kotesh,Asser,Engineer,2/3/1995,61434
11449,Kotesh,Asser,Senior Engineer,2/3/2000,61434
11459,Duke,Suomi,Senior Staff,5/2/1992,40000
11459,Duke,Suomi,Staff,5/3/1986,40000
11469,Guttorm,Giaccio,Engineer,9/8/1994,44625
11469,Guttorm,Giaccio,Senior Engineer,9/8/1999,44625
11506,Rance,Picel,Staff,4/8/1996,89747
11509,Aleksander,Feldhoffer,Engineer,11/12/1987,40000
11509,Aleksander,Feldhoffer,Senior Engineer,11/11/1992,40000
11513,Otmar,Mahnke,Senior Staff,8/25/1998,82525
11513,Otmar,Mahnke,Staff,8/25/1992,82525
11515,Ulf,Basawa,Staff,9/21/1998,70182
11518,Jinxi,Oxman,Senior Staff,9/22/1999,40000
11518,Jinxi,Oxman,Staff,9/22/1994,40000
11524,Xiadong,Standera,Senior Engineer,7/5/1996,41081
11527,Alagu,Boyle,Staff,1/28/1999,60212
11528,Zito,Dolinsky,Technique Leader,6/15/1987,44026
11537,DAIDA,Pehl,Senior Staff,7/6/1986,96023
11554,Subhash,Taubenfeld,Staff,7/15/1998,46065
11555,Kotesh,Perfilyeva,Senior Staff,10/14/1991,40000
11555,Kotesh,Perfilyeva,Staff,10/14/1986,40000
11567,Teiji,Mitzlaff,Senior Staff,2/3/1996,86261
11567,Teiji,Mitzlaff,Staff,2/3/1988,86261
11568,Martins,Fujisaki,Engineer,3/13/1992,54673
11568,Martins,Fujisaki,Senior Engineer,3/13/2000,54673
11603,Herb,Swen,Senior Staff,4/13/1994,69180
11603,Herb,Swen,Staff,4/13/1985,69180
11607,Tomokazu,Foong,Engineer,4/19/1995,49584
11615,Shem,Isaak,Senior Staff,8/28/2000,46591
11615,Shem,Isaak,Staff,8/29/1991,46591
11624,Adil,Gammage,Engineer,7/15/1989,42001
11624,Adil,Gammage,Senior Engineer,7/15/1996,42001
11628,Fan,Malinowski,Engineer,10/23/1988,43966
11628,Fan,Malinowski,Senior Engineer,10/23/1997,43966
11640,Valeri,Coorg,Senior Engineer,9/26/1988,52520
11647,Magy,Nitsche,Engineer,5/11/1988,40000
11647,Magy,Nitsche,Senior Engineer,5/11/1993,40000
11660,Gill,Stenning,Senior Staff,11/22/1994,65758
11660,Gill,Stenning,Staff,11/22/1986,65758
11673,Henk,Felder,Technique Leader,6/10/1989,40000
11676,Valeri,Ferriere,Engineer,7/15/1998,43310
11681,Fumitake,Benzmuller,Engineer,8/27/1988,40000
11681,Fumitake,Benzmuller,Senior Engineer,8/28/1995,40000
11684,Oksana,Gide,Senior Staff,2/21/1995,68753
11684,Oksana,Gide,Staff,2/21/1986,68753
11696,Dante,Rothe,Senior Staff,10/23/1994,51633
11696,Dante,Rothe,Staff,10/23/1985,51633
11732,Sanjoy,Ranft,Senior Engineer,12/22/1996,40000
11735,Amalendu,Picci,Senior Staff,7/14/1997,40000
11735,Amalendu,Picci,Staff,7/14/1988,40000
11746,Koichi,Marrakchi,Senior Staff,11/18/1995,55951
11746,Koichi,Marrakchi,Staff,11/17/1988,55951
11751,Jiafu,Emiris,Senior Staff,11/3/1993,40000
11751,Jiafu,Emiris,Staff,11/3/1988,40000
11764,Sanjay,Anick,Engineer,12/16/1991,64875
11764,Sanjay,Anick,Senior Engineer,12/15/1996,64875
11769,Chandrasekaran,Lampe,Senior Staff,10/22/2001,40000
11769,Chandrasekaran,Lampe,Staff,10/22/1993,40000
11772,Gaurav,Penz,Engineer,11/7/1999,61295
11797,Chenxi,Thambidurai,Senior Staff,8/30/1996,88050
11797,Chenxi,Thambidurai,Staff,8/30/1988,88050
11810,Amabile,Bhattacharjee,Senior Engineer,1/5/1992,41256
11817,Niranjan,Markovitch,Senior Staff,4/12/1993,50638
11817,Niranjan,Markovitch,Staff,4/12/1986,50638
11832,Arto,Zlotek,Engineer,2/4/1996,40000
11844,Shawna,Demeyer,Engineer,1/27/1988,78049
11844,Shawna,Demeyer,Senior Engineer,1/27/1995,78049
11853,Zeljko,Kusakabe,Senior Staff,11/17/1996,61941
11853,Zeljko,Kusakabe,Staff,11/17/1988,61941
11857,Divier,Farrag,Senior Staff,8/27/1986,94805
11864,Pradeep,Kriebel,Staff,11/2/1995,52517
11871,Nalini,Sommen,Engineer,10/13/1993,67424
11871,Nalini,Sommen,Senior Engineer,10/13/1998,67424
11872,Cheong,Riexinger,Senior Staff,2/12/2002,43159
11872,Cheong,Riexinger,Staff,2/12/1994,43159
11894,Mitchel,Validov,Senior Engineer,6/22/1988,56198
11897,Cordelia,Setlzner,Senior Staff,6/16/1997,80049
11897,Cordelia,Setlzner,Staff,6/16/1988,80049
11906,Hideo,Boguraev,Engineer,2/7/1999,81324
11915,Miomir,Mawatari,Engineer,6/28/1992,58042
11915,Miomir,Mawatari,Senior Engineer,6/28/2001,58042
11931,Gunilla,Chiodo,Senior Staff,1/13/2000,73369
11931,Gunilla,Chiodo,Staff,1/13/1991,73369
11933,Basil,Erman,Engineer,6/13/1987,56130
11933,Basil,Erman,Senior Engineer,6/12/1992,56130
11949,Martijn,Harbusch,Technique Leader,3/11/1985,40000
11983,Jaana,Hedayat,Engineer,10/11/1986,40000
11983,Jaana,Hedayat,Senior Engineer,10/11/1994,40000
11993,Marit,Dalphin,Senior Staff,10/22/1996,56505
12011,Zhilian,Coorg,Senior Staff,7/22/1997,85833
12011,Zhilian,Coorg,Staff,7/22/1988,85833
12036,Mads,Ratzlaff,Senior Staff,9/5/1995,67143
12036,Mads,Ratzlaff,Staff,9/5/1986,67143
12037,Arunas,Katzenelson,Senior Staff,9/30/1992,47805
12037,Arunas,Katzenelson,Staff,10/1/1986,47805
12050,Yuchang,Tchuente,Assistant Engineer,4/1/1989,46704
12050,Yuchang,Tchuente,Engineer,4/1/1996,46704
12062,Margareta,Worfolk,Senior Staff,1/4/1996,44199
12069,Ayonca,Burnard,Assistant Engineer,5/13/1985,51928
12069,Ayonca,Burnard,Engineer,5/13/1990,51928
12069,Ayonca,Burnard,Senior Engineer,5/13/1995,51928
12070,Ger,Shokrollahi,Technique Leader,11/14/1988,50233
12076,Karlis,Siprelle,Senior Staff,3/25/1985,75381
12082,Xinan,Yamaashi,Senior Staff,1/29/1992,72118
12082,Xinan,Yamaashi,Staff,1/29/1986,72118
12089,Bilhanan,Socorro,Senior Staff,10/22/1994,46288
12089,Bilhanan,Socorro,Staff,10/22/1986,46288
12099,Nobuyoshi,Kuzuoka,Senior Staff,2/15/1999,104610
12099,Nobuyoshi,Kuzuoka,Staff,2/15/1994,104610
12112,Satyanarayana,Avouris,Senior Staff,9/26/1997,76538
12112,Satyanarayana,Avouris,Staff,9/26/1989,76538
12122,Satoru,Krone,Engineer,7/24/1987,46398
12122,Satoru,Krone,Senior Engineer,7/23/1992,46398
12123,Xiahua,Syrzycki,Senior Staff,7/18/1994,64879
12123,Xiahua,Syrzycki,Staff,7/18/1987,64879
12125,Shounak,Erman,Engineer,3/31/1997,41215
12149,Suebskul,Grandbois,Senior Staff,10/1/1988,109934
12159,Shem,Perly,Senior Engineer,7/17/1985,61210
12165,Xiaobin,Maquelin,Senior Engineer,8/29/1994,41951
12183,Harngdar,Iisaku,Engineer,4/4/1998,40000
12192,Feiyu,Klyachko,Engineer,9/2/1986,41625
12192,Feiyu,Klyachko,Senior Engineer,9/2/1991,41625
12205,Sushant,Rossi,Senior Engineer,11/11/1987,40000
12206,Barton,Janetzko,Assistant Engineer,3/27/1985,40000
12206,Barton,Janetzko,Engineer,3/27/1993,40000
12206,Barton,Janetzko,Senior Engineer,3/27/2001,40000
12218,Yaghout,Strooper,Engineer,3/12/1991,40000
12218,Yaghout,Strooper,Senior Engineer,3/11/2000,40000
12221,Vincent,Melter,Engineer,9/16/1985,56736
12221,Vincent,Melter,Senior Engineer,9/16/1991,56736
12222,Abdelwaheb,Holburn,Senior Staff,8/14/1996,55840
12222,Abdelwaheb,Holburn,Staff,8/15/1987,55840
12223,Niteen,Koyama,Engineer,8/13/1986,54459
12223,Niteen,Koyama,Senior Engineer,8/13/1995,54459
12247,Subbu,Penttonen,Technique Leader,4/9/1985,59183
12249,Eldridge,Sadowski,Engineer,6/21/1987,70099
12249,Eldridge,Sadowski,Senior Engineer,6/20/1996,70099
12256,Guadalupe,Reghbati,Senior Staff,8/26/1992,40000
12256,Guadalupe,Reghbati,Staff,8/26/1985,40000
12264,Mart,Pagter,Engineer,1/9/1998,51816
12270,Shakhar,Kornyak,Senior Staff,8/19/1996,52840
12270,Shakhar,Kornyak,Staff,8/19/1989,52840
12272,Behnaam,Grandbois,Senior Staff,12/7/1992,43811
12272,Behnaam,Grandbois,Staff,12/8/1987,43811
12308,Mototsugu,Cronau,Senior Staff,8/11/1991,58741
12308,Mototsugu,Cronau,Staff,8/11/1985,58741
12311,Susanne,Lubachevsky,Senior Engineer,10/22/1985,40000
12327,DAIDA,Bruckman,Engineer,10/16/1986,67449
12327,DAIDA,Bruckman,Senior Engineer,10/15/1992,67449
12341,Rasiah,Luga,Engineer,5/25/1985,40000
12341,Rasiah,Luga,Senior Engineer,5/25/1990,40000
12343,Sorina,Slaats,Senior Staff,8/25/1997,52134
12343,Sorina,Slaats,Staff,8/25/1988,52134
12365,Kamakshi,Bisiani,Engineer,9/12/1988,40000
12365,Kamakshi,Bisiani,Senior Engineer,9/12/1994,40000
12373,Mooi,Driscoll,Senior Staff,11/11/1993,75986
12395,Sanjit,Felder,Senior Staff,6/5/1995,66909
12399,Mihalis,Luga,Senior Staff,12/6/1996,85582
12399,Mihalis,Luga,Staff,12/7/1987,85582
12411,Shao,Ibel,Senior Staff,8/17/1991,97610
12411,Shao,Ibel,Staff,8/17/1986,97610
12413,Hugh,Gadepally,Engineer,3/4/1994,53179
12413,Hugh,Gadepally,Senior Engineer,3/4/1999,53179
12417,Dannz,Spelt,Senior Engineer,2/2/1998,67342
12422,Berhard,Demos,Senior Staff,6/7/2001,71376
12422,Berhard,Demos,Staff,6/7/1993,71376
12454,Kerryn,Farris,Staff,12/18/1998,41347
12464,Shai,Milicic,Staff,6/1/1998,50448
12475,Filipe,Roison,Engineer,4/26/1987,40000
12475,Filipe,Roison,Senior Engineer,4/25/1996,40000
12487,Mona,Reghbati,Senior Staff,12/7/1998,40000
12489,Arnould,Munck,Senior Engineer,4/11/1986,63306
12490,Jackson,Muchinsky,Engineer,5/9/1994,40000
12490,Jackson,Muchinsky,Senior Engineer,5/8/2000,40000
12497,Stein,Penz,Senior Staff,9/25/1997,81191
12497,Stein,Penz,Staff,9/25/1989,81191
12501,Morrie,Matheson,Senior Staff,6/5/1986,76082
12504,Adly,Rosaz,Engineer,8/14/1997,40000
12514,Tomofumi,Melter,Engineer,11/13/1999,54241
12528,Conor,Cincotta,Senior Staff,9/24/1997,40000
12528,Conor,Cincotta,Staff,9/24/1988,40000
12534,Yongmao,Gerlach,Senior Engineer,8/14/1985,66715
12541,Shih,Nanard,Senior Staff,8/31/1996,93105
12541,Shih,Nanard,Staff,8/31/1988,93105
12542,Kazuhide,Bouloucos,Senior Staff,9/11/1993,44176
12542,Kazuhide,Bouloucos,Staff,9/12/1987,44176
12551,Jeane,Tzvieli,Engineer,12/4/1987,40000
12551,Jeane,Tzvieli,Senior Engineer,12/3/1993,40000
12553,Aral,Vesna,Senior Staff,2/28/1987,40000
12557,Stafford,Kopetz,Senior Engineer,3/20/1988,41840
12589,Anoosh,Chleq,Engineer,9/8/1988,59441
12589,Anoosh,Chleq,Senior Engineer,9/8/1997,59441
12596,Breannda,Roisin,Senior Staff,9/29/1996,40000
12601,Ghassan,Simkin,Assistant Engineer,7/9/1992,41714
12601,Ghassan,Simkin,Engineer,7/9/1997,41714
12601,Ghassan,Simkin,Senior Engineer,7/9/2002,41714
12608,Nectarios,Mondadori,Senior Staff,2/22/2000,40000
12608,Nectarios,Mondadori,Staff,2/22/1991,40000
12635,Xinyu,Restivo,Engineer,2/3/1995,40000
12635,Xinyu,Restivo,Senior Engineer,2/3/2000,40000
12638,Yuqun,Seiwald,Engineer,4/29/1999,56677
12642,Suebskul,Gips,Senior Staff,10/28/2001,68271
12642,Suebskul,Gips,Staff,10/28/1996,68271
12651,Pragnesh,Bael,Senior Staff,1/27/1988,75150
12662,Leucio,Alvarado,Assistant Engineer,8/27/1985,69016
12662,Leucio,Alvarado,Engineer,8/27/1994,69016
12663,Nobuyoshi,Stellhorn,Technique Leader,9/29/1986,49966
12664,Zhonghua,Parveen,Staff,8/4/1999,40000
12689,Luerbio,Boudaillier,Engineer,11/23/1992,59689
12689,Luerbio,Boudaillier,Senior Engineer,11/23/2001,59689
12691,Oddvar,Gils,Engineer,8/25/1992,48493
