emp_no,first_name,last_name,title,from_date
11139,Bogdan,Homond,Senior Staff,5/11/1995
11146,Ishfaq,Masand,Senior Staff,8/21/1997
11148,Zhanqiu,Botman,Senior Staff,2/8/1997
11162,Kauko,Narlikar,Senior Engineer,3/28/1990
11180,Mitsuyuki,Bojadziev,Senior Engineer,6/10/1992
11197,Tadahiro,Fordan,Senior Staff,9/12/1989
11204,Diederik,Covnot,Technique Leader,9/18/1985
11207,Saeed,Gips,Engineer,1/31/1999
11208,Saniya,Valtorta,Technique Leader,11/17/1994
11211,Yurij,Rissland,Senior Engineer,9/17/1985
11217,Kellie,Mawatari,Senior Engineer,3/11/1990
11232,Hidefumi,Crelier,Senior Staff,8/1/2000
11240,Kiam,Condotta,Engineer,1/6/1997
11249,Randi,Cyre,Engineer,9/22/1994
11251,Bezalel,Chinal,Senior Staff,6/15/1993
11268,Aimee,Petersohn,Senior Engineer,10/25/1995
11275,Hitomi,Eppinger,Senior Engineer,4/25/1998
11290,Visit,Dredge,Engineer,5/13/1999
11295,Abdelkader,Lanzelotte,Senior Staff,5/15/1990
11319,Pranas,Marrakchi,Assistant Engineer,11/1/1998
11320,Atilio,McAlpine,Senior Staff,4/6/1998
11322,Nathalie,Pocchiola,Senior Engineer,7/8/1999
11324,Kauko,Billingsley,Senior Engineer,8/29/1985
11338,Kwangsub,Hanratty,Senior Staff,10/28/1998
11339,Flemming,Massonet,Senior Engineer,12/19/1989
11347,Anneli,Jonsson,Senior Engineer,4/19/1992
11365,Toshimi,Shinomoto,Engineer,12/18/1997
11376,Valery,Suomi,Senior Staff,3/14/1994
11380,Kenroku,Pelc,Senior Engineer,4/18/2001
11385,Shiv,Ullian,Engineer,8/8/1999
11386,Alselm,Assaf,Senior Engineer,11/29/1993
11393,Junsik,Junot,Senior Engineer,4/30/1992
11398,Oscar,Peir,Senior Staff,9/7/2001
11404,Bedrich,Borovoy,Technique Leader,9/25/1990
11415,Sanjiv,Anido,Engineer,12/7/1996
11421,Josyula,Msuda,Senior Engineer,9/2/1995
11441,Marlo,Aingworth,Senior Staff,3/27/1987
11449,Kotesh,Asser,Senior Engineer,2/3/2000
11459,Duke,Suomi,Senior Staff,5/2/1992
11469,Guttorm,Giaccio,Senior Engineer,9/8/1999
11506,Rance,Picel,Staff,4/8/1996
11509,Aleksander,Feldhoffer,Senior Engineer,11/11/1992
11513,Otmar,Mahnke,Senior Staff,8/25/1998
11515,Ulf,Basawa,Staff,9/21/1998
11518,Jinxi,Oxman,Senior Staff,9/22/1999
11524,Xiadong,Standera,Senior Engineer,7/5/1996
11527,Alagu,Boyle,Staff,1/28/1999
11528,Zito,Dolinsky,Technique Leader,6/15/1987
11537,DAIDA,Pehl,Senior Staff,7/6/1986
11554,Subhash,Taubenfeld,Staff,7/15/1998
11555,Kotesh,Perfilyeva,Senior Staff,10/14/1991
11567,Teiji,Mitzlaff,Senior Staff,2/3/1996
11568,Martins,Fujisaki,Senior Engineer,3/13/2000
11603,Herb,Swen,Senior Staff,4/13/1994
11607,Tomokazu,Foong,Engineer,4/19/1995
11615,Shem,Isaak,Senior Staff,8/28/2000
11624,Adil,Gammage,Senior Engineer,7/15/1996
11628,Fan,Malinowski,Senior Engineer,10/23/1997
11640,Valeri,Coorg,Senior Engineer,9/26/1988
11647,Magy,Nitsche,Senior Engineer,5/11/1993
11660,Gill,Stenning,Senior Staff,11/22/1994
11673,Henk,Felder,Technique Leader,6/10/1989
11676,Valeri,Ferriere,Engineer,7/15/1998
11681,Fumitake,Benzmuller,Senior Engineer,8/28/1995
11684,Oksana,Gide,Senior Staff,2/21/1995
11696,Dante,Rothe,Senior Staff,10/23/1994
11732,Sanjoy,Ranft,Senior Engineer,12/22/1996
11735,Amalendu,Picci,Senior Staff,7/14/1997
11746,Koichi,Marrakchi,Senior Staff,11/18/1995
11751,Jiafu,Emiris,Senior Staff,11/3/1993
11764,Sanjay,Anick,Senior Engineer,12/15/1996
11769,Chandrasekaran,Lampe,Senior Staff,10/22/2001
11772,Gaurav,Penz,Engineer,11/7/1999
11797,Chenxi,Thambidurai,Senior Staff,8/30/1996
11810,Amabile,Bhattacharjee,Senior Engineer,1/5/1992
11817,Niranjan,Markovitch,Senior Staff,4/12/1993
11832,Arto,Zlotek,Engineer,2/4/1996
11844,Shawna,Demeyer,Senior Engineer,1/27/1995
11853,Zeljko,Kusakabe,Senior Staff,11/17/1996
11857,Divier,Farrag,Senior Staff,8/27/1986
11864,Pradeep,Kriebel,Staff,11/2/1995
11871,Nalini,Sommen,Senior Engineer,10/13/1998
11872,Cheong,Riexinger,Senior Staff,2/12/2002
11894,Mitchel,Validov,Senior Engineer,6/22/1988
11897,Cordelia,Setlzner,Senior Staff,6/16/1997
11906,Hideo,Boguraev,Engineer,2/7/1999
11915,Miomir,Mawatari,Senior Engineer,6/28/2001
11931,Gunilla,Chiodo,Senior Staff,1/13/2000
11933,Basil,Erman,Senior Engineer,6/12/1992
11949,Martijn,Harbusch,Technique Leader,3/11/1985
11983,Jaana,Hedayat,Senior Engineer,10/11/1994
11993,Marit,Dalphin,Senior Staff,10/22/1996
12011,Zhilian,Coorg,Senior Staff,7/22/1997
12036,Mads,Ratzlaff,Senior Staff,9/5/1995
12037,Arunas,Katzenelson,Senior Staff,9/30/1992
12050,Yuchang,Tchuente,Engineer,4/1/1996
12062,Margareta,Worfolk,Senior Staff,1/4/1996
12069,Ayonca,Burnard,Senior Engineer,5/13/1995
12070,Ger,Shokrollahi,Technique Leader,11/14/1988
12076,Karlis,Siprelle,Senior Staff,3/25/1985
12082,Xinan,Yamaashi,Senior Staff,1/29/1992
12089,Bilhanan,Socorro,Senior Staff,10/22/1994
12099,Nobuyoshi,Kuzuoka,Senior Staff,2/15/1999
12112,Satyanarayana,Avouris,Senior Staff,9/26/1997
12122,Satoru,Krone,Senior Engineer,7/23/1992
12123,Xiahua,Syrzycki,Senior Staff,7/18/1994
12125,Shounak,Erman,Engineer,3/31/1997
12149,Suebskul,Grandbois,Senior Staff,10/1/1988
12159,Shem,Perly,Senior Engineer,7/17/1985
12165,Xiaobin,Maquelin,Senior Engineer,8/29/1994
12183,Harngdar,Iisaku,Engineer,4/4/1998
12192,Feiyu,Klyachko,Senior Engineer,9/2/1991
12205,Sushant,Rossi,Senior Engineer,11/11/1987
12206,Barton,Janetzko,Senior Engineer,3/27/2001
12218,Yaghout,Strooper,Senior Engineer,3/11/2000
12221,Vincent,Melter,Senior Engineer,9/16/1991
12222,Abdelwaheb,Holburn,Senior Staff,8/14/1996
12223,Niteen,Koyama,Senior Engineer,8/13/1995
12247,Subbu,Penttonen,Technique Leader,4/9/1985
12249,Eldridge,Sadowski,Senior Engineer,6/20/1996
12256,Guadalupe,Reghbati,Senior Staff,8/26/1992
12264,Mart,Pagter,Engineer,1/9/1998
12270,Shakhar,Kornyak,Senior Staff,8/19/1996
12272,Behnaam,Grandbois,Senior Staff,12/7/1992
12308,Mototsugu,Cronau,Senior Staff,8/11/1991
12311,Susanne,Lubachevsky,Senior Engineer,10/22/1985
12327,DAIDA,Bruckman,Senior Engineer,10/15/1992
12341,Rasiah,Luga,Senior Engineer,5/25/1990
12343,Sorina,Slaats,Senior Staff,8/25/1997
12365,Kamakshi,Bisiani,Senior Engineer,9/12/1994
12373,Mooi,Driscoll,Senior Staff,11/11/1993
12395,Sanjit,Felder,Senior Staff,6/5/1995
12399,Mihalis,Luga,Senior Staff,12/6/1996
12411,Shao,Ibel,Senior Staff,8/17/1991
12413,Hugh,Gadepally,Senior Engineer,3/4/1999
12417,Dannz,Spelt,Senior Engineer,2/2/1998
12422,Berhard,Demos,Senior Staff,6/7/2001
12454,Kerryn,Farris,Staff,12/18/1998
12464,Shai,Milicic,Staff,6/1/1998
12475,Filipe,Roison,Senior Engineer,4/25/1996
12487,Mona,Reghbati,Senior Staff,12/7/1998
12489,Arnould,Munck,Senior Engineer,4/11/1986
12490,Jackson,Muchinsky,Senior Engineer,5/8/2000
12497,Stein,Penz,Senior Staff,9/25/1997
12501,Morrie,Matheson,Senior Staff,6/5/1986
12504,Adly,Rosaz,Engineer,8/14/1997
12514,Tomofumi,Melter,Engineer,11/13/1999
12528,Conor,Cincotta,Senior Staff,9/24/1997
12534,Yongmao,Gerlach,Senior Engineer,8/14/1985
12541,Shih,Nanard,Senior Staff,8/31/1996
12542,Kazuhide,Bouloucos,Senior Staff,9/11/1993
12551,Jeane,Tzvieli,Senior Engineer,12/3/1993
12553,Aral,Vesna,Senior Staff,2/28/1987
12557,Stafford,Kopetz,Senior Engineer,3/20/1988
12589,Anoosh,Chleq,Senior Engineer,9/8/1997
12596,Breannda,Roisin,Senior Staff,9/29/1996
12601,Ghassan,Simkin,Senior Engineer,7/9/2002
12608,Nectarios,Mondadori,Senior Staff,2/22/2000
12635,Xinyu,Restivo,Senior Engineer,2/3/2000
12638,Yuqun,Seiwald,Engineer,4/29/1999
12642,Suebskul,Gips,Senior Staff,10/28/2001
12651,Pragnesh,Bael,Senior Staff,1/27/1988
12662,Leucio,Alvarado,Engineer,8/27/1994
12663,Nobuyoshi,Stellhorn,Technique Leader,9/29/1986
12664,Zhonghua,Parveen,Staff,8/4/1999
12689,Luerbio,Boudaillier,Senior Engineer,11/23/2001
12691,Oddvar,Gils,Senior Engineer,8/25/1998
12697,Uri,Brizzi,Senior Staff,7/11/1994
12709,Ronghao,Botman,Senior Engineer,2/25/2001
12717,Tzu,Jiafu,Staff,10/20/1999
12722,Elliott,Cheshire,Senior Staff,3/29/1985
12726,Fumitake,Panwar,Senior Engineer,5/19/1994
12729,Nahla,Rahier,Senior Engineer,10/15/1997
12731,Yongmao,Waymire,Senior Staff,4/5/1988
12732,Mara,Takanami,Senior Staff,4/6/1988
12734,Gil,Frijda,Senior Engineer,3/3/1986
12755,Rildo,Rodite,Senior Staff,3/18/1994
12773,Jenwei,Lovengreen,Senior Engineer,3/5/1994
12790,Gunilla,Perl,Senior Staff,8/7/2000
12795,Masoud,Fordan,Senior Staff,6/23/1997
12798,Lillian,Beeson,Senior Staff,12/26/1996
12803,Gad,Boissier,Senior Staff,3/16/1990
12815,Sushant,Junot,Senior Staff,2/27/1993
12819,Mountaz,Gubsky,Senior Engineer,9/9/1996
12848,Kazuhide,Smeets,Engineer,5/11/1997
12863,Leif,Matheson,Senior Engineer,9/6/1990
12872,Marl,Schmittgen,Senior Staff,9/9/1993
12879,Baruch,Eugenio,Senior Engineer,6/11/1995
12890,Neven,Casley,Senior Staff,10/31/1985
12893,Licheng,Crouzet,Senior Staff,3/18/1995
12895,Roddy,Serot,Senior Engineer,8/15/1993
12905,Munehiro,Gecsei,Senior Engineer,7/18/1993
12926,Heekeun,Luby,Senior Staff,12/24/1992
12940,Odinaldo,Farrar,Senior Engineer,12/11/1992
12941,Tommaso,Perelgut,Senior Engineer,11/6/1995
12949,Geoff,Asrin,Senior Engineer,2/12/1992
12977,Byong,Markovitch,Senior Engineer,8/23/1992
12983,Elliott,Hambrick,Staff,6/28/1999
13030,Yahiko,Kroll,Senior Staff,11/25/1999
13046,Vivian,Stafford,Senior Staff,4/19/1987
13047,Atilio,Chelton,Senior Engineer,2/25/1997
13075,Rosella,Morrin,Senior Staff,8/17/1991
13076,Deniz,Skafidas,Engineer,1/28/1995
13096,Ibibia,Armand,Senior Engineer,4/22/2001
13103,Srinidhi,Ellozy,Senior Engineer,6/19/1988
13124,Quingbo,Garnick,Senior Staff,3/17/1985
13133,Guther,Senzako,Senior Staff,9/3/1991
13134,Lorien,Chepyzhov,Senior Engineer,10/22/1993
13144,Persi,Nollmann,Senior Staff,6/19/1997
13146,Haldon,Erie,Senior Staff,5/25/1985
13147,Shichao,Ginesta,Senior Staff,6/29/1998
13156,Akeel,Millington,Senior Engineer,8/18/2000
13165,Lucian,Benner,Senior Engineer,3/17/1995
13168,Munir,Stentiford,Senior Engineer,9/10/1992
13170,Cheong,Bernardeschi,Senior Staff,1/9/1998
13171,Anoosh,Birnbaum,Senior Engineer,8/31/1995
13173,Arve,Horswill,Senior Staff,9/23/1996
13179,Moty,Janocha,Staff,2/19/1999
13182,Kokou,Rodite,Engineer,3/3/1999
13186,Kyoichi,Barbanera,Senior Staff,4/29/1995
13192,Rosita,Flowers,Technique Leader,2/1/1993
13202,Aram,Scharstein,Senior Staff,3/28/1992
13210,Jianhua,Klassen,Senior Staff,7/27/2002
13213,Hein,Billawala,Senior Staff,8/30/1993
13232,Mitchel,Fujisaki,Technique Leader,6/2/1986
13233,Alselm,Chvatal,Senior Engineer,3/31/1995
13238,Ebru,Foote,Senior Staff,10/10/1998
13240,King,Pileggi,Senior Engineer,3/10/2001
13250,Zeydy,Schusler,Senior Engineer,10/27/1998
13272,Arun,Jiang,Senior Staff,3/10/1985
13276,Yechiam,Seuren,Senior Staff,3/9/1991
13288,Muneo,Broomell,Senior Staff,4/14/1995
13291,Georg,Stamatiou,Senior Engineer,10/30/1993
13302,Mack,Alencar,Senior Engineer,9/26/1997
13315,Sakthirel,Stroustrup,Senior Engineer,6/2/1999
13332,Nidapan,Pearson,Senior Engineer,9/23/1997
13333,Yoshinari,Hennebert,Engineer,3/23/1996
13341,Bodh,Doering,Senior Staff,3/10/1992
13343,Heon,Usery,Senior Staff,7/30/1995
13368,Kiyokazu,Klassen,Staff,9/30/1997
13371,Nakhoon,Riexinger,Senior Engineer,12/13/1991
13373,Juichirou,Naumovich,Senior Staff,8/23/2000
13385,Claudi,Buchter,Senior Staff,6/10/1986
13386,Khosrow,Sgarro,Technique Leader,2/23/1986
13389,Divine,Cmelik,Senior Staff,3/23/1988
13392,Fumitake,Beidas,Senior Staff,8/26/1993
13396,Chuanyi,Aumann,Senior Staff,3/29/1994
13402,Augustine,Dulli,Engineer,9/12/1999
13405,Randy,Baba,Senior Staff,5/10/1990
13407,Gio,Chenoweth,Senior Engineer,10/3/2001
13408,Sreekrishna,Lagarias,Senior Engineer,7/24/2000
13415,Nathalie,Speer,Technique Leader,4/25/1991
13422,Vishwani,Gerlach,Senior Engineer,1/17/1995
13442,Giordano,Miake,Senior Staff,6/16/1994
13443,Mayuko,Puppo,Senior Engineer,12/25/1996
13445,Renee,Dehkordi,Engineer,11/29/1996
13451,Gretta,Weiland,Senior Staff,8/23/1995
13457,Shooichi,Parfitt,Senior Engineer,1/18/1991
13458,Feipei,Nivat,Senior Engineer,3/2/1995
13463,Theron,Berstel,Senior Engineer,1/25/1993
13465,Sasan,Rehfuss,Engineer,3/12/1999
13493,Uinam,Jullig,Senior Engineer,9/6/1992
13504,Parto,Mandell,Engineer,12/21/1994
13524,Chaoyi,Porotnikoff,Senior Staff,10/27/2000
13535,Arunas,Schlenzig,Senior Engineer,5/19/2000
13546,Aimee,Brookner,Senior Engineer,10/26/1997
13549,Matk,Koprowski,Technique Leader,6/18/1997
13552,Ingmar,Capobianchi,Senior Staff,3/23/1993
13576,Jungsoon,Engberts,Senior Staff,8/29/2001
13605,Dmitry,Encarnacion,Senior Staff,9/29/1991
13621,Fei,Haddadi,Engineer,2/9/1995
13624,Zhigen,Yurek,Senior Staff,5/11/1996
13629,Dzung,Trelles,Senior Engineer,1/3/1994
13648,Zejun,Lamba,Technique Leader,11/16/1985
13653,Kristen,Iivonen,Senior Staff,1/17/2000
13670,Moti,Takanami,Senior Engineer,6/30/1988
13680,Denny,Speer,Staff,2/5/1996
13685,Weicheng,Hockney,Senior Engineer,11/29/1999
13697,Shuichi,Weedon,Technique Leader,6/20/1985
13704,Vishu,Kumaresan,Senior Engineer,10/1/1995
13721,Sugwoo,Delgrossi,Senior Staff,9/20/2001
13727,Vitali,Merey,Staff,10/7/1999
13738,Bangqing,Mitchem,Engineer,6/30/1998
13766,Tremaine,Heemskerk,Senior Staff,8/18/1986
13769,Yakichi,Trogemann,Senior Staff,10/18/1988
13775,Arve,Maierhofer,Senior Staff,10/21/1994
13786,Takushi,Berendt,Senior Staff,5/19/1995
13787,Xiaobin,Sinicrope,Senior Engineer,10/29/1996
13792,Valery,Sury,Senior Staff,7/27/1991
13796,Paloma,Thorelli,Engineer,1/1/1996
13809,Kiyotoshi,Basagni,Senior Staff,1/12/1991
13815,Guadalupe,Plotkin,Senior Engineer,9/9/1993
13825,Arlette,Pell,Technique Leader,8/2/1986
13841,Christophe,Spinelli,Technique Leader,2/1/1992
13842,Juichirou,Cichocki,Senior Staff,4/20/2000
13846,Guiseppe,Welham,Senior Staff,3/20/1985
13853,Mingsen,Roohalamini,Senior Staff,3/25/1991
13859,Anoosh,Fujisawa,Senior Engineer,8/22/1992
13884,Kensei,Swift,Engineer,12/21/1998
13894,Ult,Schonegge,Engineer,11/28/1995
13904,Youngkon,Cairo,Senior Engineer,9/3/1987
13934,Shiv,Bratsberg,Senior Engineer,4/5/1990
13942,Elzbieta,Esteva,Technique Leader,10/13/1997
13951,Mooi,Genther,Senior Staff,12/28/1990
13960,Nechama,Hettesheimer,Senior Staff,4/6/1996
13962,Maris,Ghelli,Senior Engineer,10/26/1994
13966,Boguslaw,Cooman,Senior Staff,12/26/1990
13969,Jianwen,Chandrasekhar,Technique Leader,5/29/1985
13990,Deborah,Schapiro,Engineer,6/10/1996
13992,Ulises,Kenevan,Senior Staff,7/27/1994
13999,Florian,Crouzet,Senior Staff,2/25/2000
14005,Vojin,Stellhorn,Technique Leader,5/10/1985
14015,Manibrata,Picaronny,Senior Engineer,8/15/1997
14034,Aloys,Seghrouchni,Senior Staff,8/26/1991
14041,Shan,DeMori,Senior Staff,12/22/1995
14067,Godehard,Trachtenberg,Senior Engineer,2/14/2000
14088,Mori,Leslie,Senior Staff,11/10/1994
14107,Xiahua,Rindone,Senior Staff,12/15/1999
14111,Leszek,Cummings,Senior Staff,9/26/1999
14118,Kasturi,Anido,Senior Staff,4/6/1985
14167,Adas,Hertweck,Senior Engineer,12/1/1994
14191,Jiann,Luby,Senior Engineer,1/15/1993
14209,Masanao,Kusakabe,Senior Staff,4/6/1988
14220,Tomofumi,Pargas,Senior Engineer,12/2/1987
14232,Masali,Bojadziev,Senior Engineer,9/10/1999
14236,Xuedong,Angiulli,Senior Staff,11/7/1988
14237,Abdulla,Gerlach,Senior Engineer,6/13/1994
14242,Sudhanshu,Benaini,Senior Staff,6/27/1992
14257,Kwok,Massonet,Staff,2/4/1998
14290,Miyeon,Olivero,Senior Engineer,3/29/1992
14292,Susanna,Vigier,Senior Staff,2/18/1997
14298,Chriss,Granlund,Senior Engineer,1/6/2001
14310,Marlo,Leuchs,Senior Staff,2/23/1987
14320,Sreenivas,Schaar,Senior Engineer,6/29/1992
14322,Shem,Kakkad,Engineer,11/19/1999
14323,Golgen,Leslie,Staff,8/5/1997
14340,Vitaly,Wixon,Senior Engineer,12/19/1995
14344,Otilia,Buescher,Technique Leader,12/16/1988
14354,Mong,Bojadziev,Senior Staff,8/28/1990
14360,Janche,Erbe,Senior Staff,8/1/1997
14372,Saniya,Srimani,Engineer,12/26/1999
14384,Tomofumi,Holburn,Technique Leader,2/13/1988
14422,Toshimo,Gadepally,Senior Engineer,10/20/1990
14434,Elvis,Maginnis,Technique Leader,9/21/1989
14439,Raimond,Woycyznski,Senior Engineer,11/1/1994
14460,Yagil,Lueh,Senior Engineer,1/23/1995
14478,Munehiro,Boissier,Senior Staff,6/28/1992
14481,Moti,Lammel,Senior Engineer,8/24/1993
14483,Supot,Marrevee,Senior Engineer,1/30/1986
14486,Indrajit,Birdsall,Senior Engineer,8/12/1999
14498,Xiong,Selenyi,Senior Staff,10/17/1994
14501,Taizo,Kroft,Technique Leader,11/20/1991
14509,Danil,Aloia,Senior Staff,12/16/2001
14513,Samphel,Barreiro,Senior Staff,7/28/1985
14515,Kazuhisa,Versino,Senior Engineer,2/19/1996
14516,Kristian,Underwood,Senior Staff,4/8/1989
14518,Patricia,Peir,Engineer,2/18/1996
14522,Chuanyi,Ranta,Senior Staff,1/14/1990
14537,Babette,Engelmann,Senior Engineer,3/17/1994
14552,Ibibia,Snyers,Senior Engineer,6/13/1999
14556,Fatemeh,Zultner,Engineer,12/26/1994
14560,Elrique,Driscoll,Senior Engineer,5/21/1993
14581,Gao,Condotta,Senior Engineer,6/28/1996
14582,Kiyokazu,Morrin,Senior Engineer,4/8/1999
14600,Jayson,Cairo,Senior Staff,10/24/1988
14603,Lech,Marquardt,Senior Engineer,1/19/1993
14607,Suzette,Selvestrel,Staff,6/26/1994
14620,Jianhua,Erev,Senior Engineer,8/4/1993
14621,Souichi,Wixon,Senior Staff,1/20/1992
14632,Gudjon,McClurg,Senior Engineer,8/1/2001
14639,Arvind,Hempstead,Senior Staff,11/8/1994
14640,Toshimori,Kornatzky,Senior Engineer,5/20/1998
14642,Florian,Kuhnemann,Senior Engineer,6/4/1996
14645,Laurentiu,Glinert,Senior Engineer,5/1/1995
14648,IEEE,Lorys,Senior Staff,11/16/1994
14659,Sashi,Adachi,Senior Engineer,3/16/1990
14675,Teunis,Angel,Senior Staff,9/25/1988
14677,Herbert,Sifakis,Senior Engineer,2/12/1987
14683,Alois,Basart,Senior Engineer,12/2/1994
14690,Yechezkel,Bellone,Senior Engineer,2/25/1994
14693,Brewster,Stranks,Senior Staff,5/4/1992
14710,Mahmut,Hainaut,Senior Staff,9/18/1988
